feature,score,score_std,input_value,intercept,policy_type,feature_type
Age,0.42793569664252756,0.24577618177735078,0.0,-1.5314750349836255,Collision,numeric
Age,0.1988983409208324,0.20561282909580336,16.0,-1.5314750349836255,Collision,numeric
Age,1.277130385105668,0.8819968609462282,17.0,-1.5314750349836255,Collision,numeric
Age,0.8560636573212674,0.31320229907352254,18.0,-1.5314750349836255,Collision,numeric
Age,0.822329496297557,0.29791068636522566,19.0,-1.5314750349836255,Collision,numeric
Age,-0.18609216972800213,0.16009213225298005,20.0,-1.5314750349836255,Collision,numeric
Age,-0.1345787683000369,0.09167689811695555,21.0,-1.5314750349836255,Collision,numeric
Age,-0.4146846279236379,0.21082237821309807,22.0,-1.5314750349836255,Collision,numeric
Age,-0.4424078147440482,0.21574326719267597,23.0,-1.5314750349836255,Collision,numeric
Age,-0.0013660585373699386,0.13737821602425182,24.0,-1.5314750349836255,Collision,numeric
Age,0.13275731597406643,0.0669397226142643,25.0,-1.5314750349836255,Collision,numeric
Age,0.14682729838271602,0.05706361670676304,26.0,-1.5314750349836255,Collision,numeric
Age,0.44666693981285654,0.11613019849884028,27.0,-1.5314750349836255,Collision,numeric
Age,-0.05447106460431897,0.07994973634799968,28.0,-1.5314750349836255,Collision,numeric
Age,0.016936361817305214,0.05131601819431076,29.0,-1.5314750349836255,Collision,numeric
Age,0.18001147570660753,0.04780112206004683,30.0,-1.5314750349836255,Collision,numeric
Age,0.34459511684776667,0.07991203119834206,31.0,-1.5314750349836255,Collision,numeric
Age,0.2684632872011135,0.07472366981816067,32.0,-1.5314750349836255,Collision,numeric
Age,-0.10015054373975477,0.0558102262457898,33.0,-1.5314750349836255,Collision,numeric
Age,-0.07835737011887373,0.03655672495752383,34.0,-1.5314750349836255,Collision,numeric
Age,-0.158235715008152,0.05623832918710883,35.0,-1.5314750349836255,Collision,numeric
Age,-0.1776038093415701,0.0565169007597705,36.0,-1.5314750349836255,Collision,numeric
Age,-0.09710922836151276,0.07891061049050609,37.0,-1.5314750349836255,Collision,numeric
Age,0.09175338990239745,0.06750803799684969,38.0,-1.5314750349836255,Collision,numeric
Age,0.41345493653697934,0.11892739444357983,39.0,-1.5314750349836255,Collision,numeric
Age,0.21877157596470123,0.08708097635582093,40.0,-1.5314750349836255,Collision,numeric
Age,0.036782577433700496,0.07401291219464004,41.0,-1.5314750349836255,Collision,numeric
Age,-0.14534911657232955,0.10730482633086455,42.0,-1.5314750349836255,Collision,numeric
Age,-0.012983610480979197,0.09929088933867132,43.0,-1.5314750349836255,Collision,numeric
Age,-0.08434901155900199,0.0670753757170749,44.0,-1.5314750349836255,Collision,numeric
Age,-0.3455740443003924,0.17215224733462828,45.0,-1.5314750349836255,Collision,numeric
Age,0.6168609540750333,0.2034964447939194,46.0,-1.5314750349836255,Collision,numeric
Age,-0.04020868439070457,0.07434775133744749,47.0,-1.5314750349836255,Collision,numeric
