feature,score,score_std,input_value,intercept,policy_type,feature_type
Age,0.6807772403356867,0.42159720183238814,0.0,-1.544720774921856,Collision,numeric
Age,0.6881537703193339,0.4190405859895972,16.0,-1.544720774921856,Collision,numeric
Age,0.784149431082549,0.5625497800268394,17.0,-1.544720774921856,Collision,numeric
Age,0.7397394346878704,0.46985075968545603,18.0,-1.544720774921856,Collision,numeric
Age,0.7251515416248717,0.4578051287378482,19.0,-1.544720774921856,Collision,numeric
Age,0.1017407002777586,0.13813915918717123,20.0,-1.544720774921856,Collision,numeric
Age,0.1010331344788807,0.13778464077752414,21.0,-1.544720774921856,Collision,numeric
Age,-0.016254211486190488,0.1758459722565254,22.0,-1.544720774921856,Collision,numeric
Age,-0.016350568760129636,0.17560151304941762,23.0,-1.544720774921856,Collision,numeric
Age,0.2664948567546126,0.19396695844670253,24.0,-1.544720774921856,Collision,numeric
Age,0.3133682893098917,0.16082405189680804,25.0,-1.544720774921856,Collision,numeric
Age,0.29951679448270474,0.15969404821905395,26.0,-1.544720774921856,Collision,numeric
Age,0.5012495564139046,0.27646079587898226,27.0,-1.544720774921856,Collision,numeric
Age,0.19649260191690274,0.10178642191225779,28.0,-1.544720774921856,Collision,numeric
Age,0.22540136194068783,0.11957122346500529,29.0,-1.544720774921856,Collision,numeric
Age,0.30675471975617863,0.15197705555319488,30.0,-1.544720774921856,Collision,numeric
Age,0.42219837434903373,0.23691491043197616,31.0,-1.544720774921856,Collision,numeric
Age,0.37982517058102083,0.2037079578243103,32.0,-1.544720774921856,Collision,numeric
Age,0.0584651452572294,0.07706689790372671,33.0,-1.544720774921856,Collision,numeric
Age,0.050469085673260014,0.07941226221713449,34.0,-1.544720774921856,Collision,numeric
Age,0.013672950926355225,0.03753673105172187,35.0,-1.544720774921856,Collision,numeric
Age,0.0010996668077613999,0.03596955227348152,36.0,-1.544720774921856,Collision,numeric
Age,0.08703586923701762,0.09445365033456946,37.0,-1.544720774921856,Collision,numeric
Age,0.25859967768313785,0.17481122301157084,38.0,-1.544720774921856,Collision,numeric
Age,0.39000406526779097,0.25216152417589915,39.0,-1.544720774921856,Collision,numeric
Age,0.22415458647210115,0.1526747570599383,40.0,-1.544720774921856,Collision,numeric
